City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pitimbu,-7.4706,-34.8086,90.19,69,29,11.16,BR,1712413659
84,colchani,-20.3,-66.9333,59.02,55,92,14.56,BO,1712413660
85,carutapera,-1.195,-46.02,82.83,80,57,7.4,BR,1712413662
86,longyearbyen,78.2186,15.6401,-4.16,65,20,3.44,SJ,1712413663
87,vorgashor,67.5833,63.95,19.8,87,81,19.69,RU,1712413664
88,enewetak,11.3474,162.3373,80.87,78,66,20.02,MH,1712413666
89,port blair,11.6667,92.75,84.24,79,20,2.3,IN,1712413667
90,minas de marcona,-15.2119,-75.1103,66.2,79,76,11.14,PE,1712413668
91,kone,-21.0595,164.8658,75.87,84,100,4.94,NC,1712413670
92,san patricio,28.017,-97.5169,75.87,77,100,18.21,US,1712413671
93,haiku-pauwela,20.9219,-156.3051,71.04,83,75,12.66,US,1712413672
94,uyuni,-20.4597,-66.825,60.49,50,68,15.43,BO,1712413671
95,birjand,32.8663,59.2211,79.27,8,40,13.8,IR,1712413675
96,bredasdorp,-34.5322,20.0403,65.35,58,47,24.23,ZA,1712413676
97,pacific grove,36.6177,-121.9166,46.42,86,20,3.44,US,1712413463
98,lihue,21.9789,-159.3672,71.37,72,40,23.02,US,1712413679
99,lebu,-37.6167,-73.65,58.98,69,88,2.8,CL,1712413680
100,dabizhuang,39.1931,117.2558,68.0,49,4,8.95,CN,1712413681
101,port alfred,-33.5906,26.891,60.19,93,100,1.99,ZA,1712413682
102,saurimo,-9.6608,20.3916,81.68,61,73,3.44,AO,1712413684
103,svetlyy,54.675,20.1347,52.36,82,43,15.55,RU,1712413685
104,nezhinka,51.7676,55.3694,51.96,87,20,8.95,RU,1712413687
105,anadyr,64.75,177.4833,-7.1,84,0,6.71,RU,1712413473
106,petropavlovsk-kamchatsky,53.0452,158.6483,25.39,74,0,14.0,RU,1712413690
107,ploneour-lanvern,47.9,-4.2833,59.32,82,75,19.57,FR,1712413691
108,bondoukou,8.0333,-2.8,100.27,33,97,4.76,CI,1712413692
109,gamba,-2.65,10.0,84.61,73,89,3.53,GA,1712413694
110,okhotsk,59.3833,143.3,16.09,91,64,5.01,RU,1712413695
111,avarua,-21.2078,-159.775,77.05,100,75,5.75,CK,1712413696
112,nova sintra,14.8667,-24.7167,73.89,74,55,22.53,CV,1712413698
113,atherton,53.5237,-2.4935,64.29,60,49,8.99,GB,1712413699
114,mitsamiouli,-11.3847,43.2844,85.44,74,65,3.85,KM,1712413701
115,hadibu,12.65,54.0333,83.17,66,92,7.34,YE,1712413702
116,ternate,0.8,127.4,80.87,83,100,6.73,ID,1712413703
117,gunja,44.88,18.8533,82.4,36,36,6.35,HR,1712413705
118,severo-yeniseyskiy,60.3725,93.0408,34.57,100,100,3.0,RU,1712413706
119,louhans,46.6667,5.1667,79.27,44,35,8.99,FR,1712413707
120,kota kinabalu,5.9749,116.0724,78.78,94,20,4.61,MY,1712413649
121,klyuchi,52.2667,79.1667,57.42,40,90,4.99,RU,1712413710
122,isafjordur,66.0755,-23.124,26.64,63,100,19.57,IS,1712413711
123,chos malal,-37.3781,-70.2709,66.78,27,0,8.72,AR,1712413713
124,caucasia,7.9865,-75.1935,82.35,80,100,4.45,CO,1712413714
125,caleta de carquin,-11.0925,-77.6267,73.78,82,95,9.37,PE,1712413715
126,bizhbulyak,53.6967,54.2642,40.98,100,100,9.35,RU,1712413717
127,puerto san jose,13.9256,-90.8244,83.35,69,0,4.94,GT,1712413718
128,sisimiut,66.9395,-53.6735,26.38,74,100,8.68,GL,1712413719
129,plettenberg bay,-34.0527,23.3716,59.63,82,100,15.35,ZA,1712413721
130,tofol,5.3248,163.0078,82.22,81,96,17.2,FM,1712413722
131,barakani,-12.1356,44.4317,83.97,80,80,7.85,KM,1712413723
132,hithadhoo,-0.6,73.0833,83.68,76,100,13.22,MV,1712413724
133,karratha,-20.7377,116.8463,81.93,56,21,3.89,AU,1712413726
134,el bauga,18.262,33.9081,102.0,15,3,13.33,SD,1712413727
135,south yarmouth,41.6668,-70.1847,42.19,89,100,23.0,US,1712413728
136,lazaro cardenas,17.9583,-102.2,74.7,37,61,3.04,MX,1712413730
137,al qusiyah,27.4402,30.8184,86.27,13,0,17.74,EG,1712413731
138,biloela,-24.4167,150.5,73.15,89,100,2.35,AU,1712413732
139,monterrey,25.6667,-100.3167,78.75,70,100,10.0,MX,1712413440
140,east london,-33.0153,27.9116,59.94,94,100,2.3,ZA,1712413735
141,santa isabel,-23.3156,-46.2214,78.1,59,10,5.41,BR,1712413736
142,haparanda,65.8355,24.1368,21.25,89,75,7.45,SE,1712413678
143,college,64.8569,-147.8028,23.32,83,75,3.44,US,1712413554
144,santa elena de uairen,4.6167,-61.1333,78.12,53,100,7.65,VE,1712413743
145,bukene,-4.2333,32.8833,75.96,77,99,3.62,TZ,1712413744
146,ust-nera,64.5667,143.2,0.99,99,92,3.09,RU,1712413747
147,chibougamau,49.9168,-74.3659,37.02,60,0,4.61,CA,1712413748
148,ilulissat,69.2167,-51.1,23.02,54,75,2.3,GL,1712413749
149,chyorny yar,48.0624,46.1091,54.21,46,83,13.44,RU,1712413752
150,newman,37.3138,-121.0208,43.02,93,4,1.99,US,1712413753
151,alice town,25.7167,-79.3,71.49,51,0,11.61,BS,1712413755
152,nouadhibou,20.931,-17.0347,73.38,64,0,18.41,MR,1712413757
